State/Region Pcode,State/Region Name,District Pcode,District Name,Township Pcode,Township Name,Vulnerability Score,Approximate Vulnerable Population,Vulnerability Band
MMR001,Kachin,MMR001D001,Myitkyina,MMR001001,Myitkyina,0,134058,6
MMR001,Kachin,MMR001D001,Myitkyina,MMR001002,Waingmaw,1,73969,2
MMR001,Kachin,MMR001D001,Myitkyina,MMR001003,Injangyang,1,939,2
MMR001,Kachin,MMR001D001,Myitkyina,MMR001004,Tanai,1,33133,4
MMR001,Kachin,MMR001D001,Myitkyina,MMR001005,Chipwi,1,13384,1
MMR001,Kachin,MMR001D001,Myitkyina,MMR001006,Tsawlaw,1,4090,2
MMR001,Kachin,MMR001D002,Mohnyin,MMR001007,Mohnyin,0,103714,6
MMR001,Kachin,MMR001D002,Mohnyin,MMR001008,Mogaung,0,65843,6
MMR001,Kachin,MMR001D002,Mohnyin,MMR001009,Hpakant,0,157317,5
MMR001,Kachin,MMR001D003,Bhamo,MMR001010,Bhamo,0,65675,6
MMR001,Kachin,MMR001D003,Bhamo,MMR001011,Shwegu,1,49974,4
MMR001,Kachin,MMR001D003,Bhamo,MMR001012,Momauk,1,48501,2
MMR001,Kachin,MMR001D003,Bhamo,MMR001013,Mansi,1,39278,6
MMR001,Kachin,MMR001D004,Puta-O,MMR001014,Puta-O,1,35640,4
MMR001,Kachin,MMR001D004,Puta-O,MMR001015,Sumprabum,1,1599,2
MMR001,Kachin,MMR001D004,Puta-O,MMR001016,Machanbaw,1,4489,4
MMR001,Kachin,MMR001D004,Puta-O,MMR001017,Nawngmun,1,3832,4
MMR001,Kachin,MMR001D004,Puta-O,MMR001018,Khaunglanhpu,1,6773,4
MMR002,Kayah,MMR002D001,Loikaw,MMR002001,Loikaw,0,43424,6
MMR002,Kayah,MMR002D001,Loikaw,MMR002002,Demoso,0,34577,3
MMR002,Kayah,MMR002D001,Loikaw,MMR002003,Hpruso,0,14512,3
MMR002,Kayah,MMR002D001,Loikaw,MMR002004,Shadaw,1,3848,2
MMR002,Kayah,MMR002D002,Bawlake,MMR002005,Bawlakhe,0,4374,6
MMR002,Kayah,MMR002D002,Bawlake,MMR002006,Hpasawng,0,11155,6
MMR002,Kayah,MMR002D002,Bawlake,MMR002007,Mese,0,2802,4
MMR003,Kayin,MMR003D001,Hpa-An,MMR003001,Hpa-An,1,224498,3
MMR003,Kayin,MMR003D001,Hpa-An,MMR003002,Hlaingbwe,1,183543,1
MMR003,Kayin,MMR003D004,Hpapun,MMR003003,Hpapun,1,65139,4
MMR003,Kayin,MMR003D001,Hpa-An,MMR003004,Thandaunggyi,1,55542,4
MMR003,Kayin,MMR003D002,Myawaddy,MMR003005,Myawaddy,1,105715,6
MMR003,Kayin,MMR003D003,Kawkareik,MMR003006,Kawkareik,1,138454,1
MMR003,Kayin,MMR003D003,Kawkareik,MMR003007,Kyainseikgyi,1,143860,1
MMR004,Chin,MMR004D001,Falam,MMR004001,Falam,0,19718,6
MMR004,Chin,MMR004D003,Hakha,MMR004002,Hakha,0,19821,4
MMR004,Chin,MMR004D003,Hakha,MMR004003,Thantlang,0,22607,4
