"","region","total","migrants","conflict","idp_pop","idp_return"
"1","Kachin",1584375,303937,7170,129500,41442
"2","Kayah",311448,50253,842,125400,697
"3","Kayin",1556552,247539,8292,186200,15828
"4","Chin",509037,52672,97,80900,5466
"5","Sagaing",5309914,460357,1400,1208700,42312
"6","Tanintharyi",1426426,162134,781,129500,40646
"7","Bago",4814583,421854,1224,196500,5120
"8","Magway",3805211,273783,1050,237000,41245
"9","Mandalay",6168226,987919,3089,0,0
"10","Mon",1889274,220133,2036,78100,10341
"11","Rakhine",3230174,300267,638,339000,42836
"12","Yangon",7831830,3502268,12284,0,0
"13","Shan",5384243,723958,19475,152700,30679
"14","Ayeyawady",6140000,442829,1669,0,0
"15","NayPyiTaw",1183314,242572,102,0,0
